strategy,variant,perturb_factor,total_return,return_pct
00_no_trade,down_10pct,0.9,0.0,0.0
00_no_trade,base,1.0,0.0,0.0
00_no_trade,up_10pct,1.1,0.0,0.0
01_btc_buy_and_hold,down_10pct,0.9,234.2108375853497,23421.08375853497
01_btc_buy_and_hold,base,1.0,234.2108375853497,23421.08375853497
01_btc_buy_and_hold,up_10pct,1.1,234.2108375853497,23421.08375853497
02_btc_ma_20_50_200,down_10pct,0.9,70.05105594453363,7005.105594453363
02_btc_ma_20_50_200,base,1.0,50.20665511243723,5020.665511243723
02_btc_ma_20_50_200,up_10pct,1.1,64.77274343511532,6477.274343511532
03_btc_20d_breakout,down_10pct,0.9,205.4463612330775,20544.63612330775
03_btc_20d_breakout,base,1.0,196.91232465044308,19691.232465044308
03_btc_20d_breakout,up_10pct,1.1,199.87595734997728,19987.59573499773
04_btc_20d_zscore_reversal,down_10pct,0.9,-0.4096578795523732,-40.96578795523732
04_btc_20d_zscore_reversal,base,1.0,-0.591398439955874,-59.139843995587405
04_btc_20d_zscore_reversal,up_10pct,1.1,-0.07805425442708014,-7.805425442708014
05_btc_gold_ratio_mr,down_10pct,0.9,0.4776338263372166,47.76338263372166
05_btc_gold_ratio_mr,base,1.0,0.15954213055851008,15.954213055851007
05_btc_gold_ratio_mr,up_10pct,1.1,-0.06992925635184655,-6.992925635184655
06_btc_momentum_plus_gold_regime,down_10pct,0.9,22.68894604177656,2268.894604177656
06_btc_momentum_plus_gold_regime,base,1.0,24.568853199218946,2456.8853199218947
06_btc_momentum_plus_gold_regime,up_10pct,1.1,26.563840921242033,2656.384092124203
07_btc_momentum_plus_gold_shock_filter,down_10pct,0.9,53.119981683312986,5311.998168331299
07_btc_momentum_plus_gold_shock_filter,base,1.0,53.015650928367805,5301.56509283678
07_btc_momentum_plus_gold_shock_filter,up_10pct,1.1,52.90647859219331,5290.647859219331
08_ratio_mr_plus_beta_corr_stability,down_10pct,0.9,0.21557366749158913,21.557366749158913
08_ratio_mr_plus_beta_corr_stability,base,1.0,0.21557725326099808,21.557725326099806
08_ratio_mr_plus_beta_corr_stability,up_10pct,1.1,0.2151310972995808,21.51310972995808
09_residual_spread_stationary_only,down_10pct,0.9,0.2100845838320864,21.00845838320864
09_residual_spread_stationary_only,base,1.0,0.15502366244208288,15.502366244208288
09_residual_spread_stationary_only,up_10pct,1.1,0.2941391694722799,29.413916947227992
10_clean_combo_momo_regime_ratio_overlay,down_10pct,0.9,6.232533604675179,623.253360467518
10_clean_combo_momo_regime_ratio_overlay,base,1.0,7.154853381050335,715.4853381050335
10_clean_combo_momo_regime_ratio_overlay,up_10pct,1.1,7.481420189986444,748.1420189986444
11_vol_expansion_breakout,down_10pct,0.9,47.778740081648735,4777.874008164874
11_vol_expansion_breakout,base,1.0,27.633336670791408,2763.333667079141
11_vol_expansion_breakout,up_10pct,1.1,13.509798754098737,1350.9798754098738
12_squeeze_compression_expansion,down_10pct,0.9,12.489888610610524,1248.9888610610524
12_squeeze_compression_expansion,base,1.0,12.474448562068293,1247.4448562068294
12_squeeze_compression_expansion,up_10pct,1.1,14.411730958006899,1441.17309580069
13_drawdown_recovery_momentum,down_10pct,0.9,12.409436486776931,1240.943648677693
13_drawdown_recovery_momentum,base,1.0,10.6957000247898,1069.57000247898
13_drawdown_recovery_momentum,up_10pct,1.1,4.685867806070075,468.5867806070075
14_funding_sentiment_filter,down_10pct,0.9,26.93740419150142,2693.7404191501423
14_funding_sentiment_filter,base,1.0,31.403325736190588,3140.3325736190586
14_funding_sentiment_filter,up_10pct,1.1,32.06012582076228,3206.0125820762282
15_volume_confirmed_breakout,down_10pct,0.9,102.75667370229388,10275.667370229388
15_volume_confirmed_breakout,base,1.0,113.5421638481593,11354.21638481593
15_volume_confirmed_breakout,up_10pct,1.1,87.63483468146423,8763.483468146424
16_time_of_day_session_effect,down_10pct,0.9,9.292692741139232,929.2692741139232
16_time_of_day_session_effect,base,1.0,9.292692741139232,929.2692741139232
16_time_of_day_session_effect,up_10pct,1.1,9.292692741139232,929.2692741139232
17_regime_switching_model,down_10pct,0.9,187.4662760614412,18746.62760614412
17_regime_switching_model,base,1.0,153.7542848064638,15375.42848064638
17_regime_switching_model,up_10pct,1.1,126.87016485879795,12687.016485879794
18_trend_strength_filter,down_10pct,0.9,63.92148693182601,6392.148693182601
18_trend_strength_filter,base,1.0,57.0307167684138,5703.0716768413795
18_trend_strength_filter,up_10pct,1.1,70.61955154349752,7061.955154349752
19_momentum_decay_exit,down_10pct,0.9,20.69859821178844,2069.859821178844
19_momentum_decay_exit,base,1.0,18.730482556108893,1873.0482556108893
19_momentum_decay_exit,up_10pct,1.1,18.279105776958495,1827.9105776958495
20_cross_asset_risk_on_filter,down_10pct,0.9,25.95902596166988,2595.902596166988
20_cross_asset_risk_on_filter,base,1.0,25.95902596166988,2595.902596166988
20_cross_asset_risk_on_filter,up_10pct,1.1,25.95902596166988,2595.902596166988
